127.0.0.1 - - [09/Dec/2021:14:36:47 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 15149
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/css/mainLayout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/css/mainSlide.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/js/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/js/mainPage_scroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/js/heartFlag.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/img/slide-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/img/slide-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/img/slide-4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/page/product/img/a103_info_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/page/product/img/b101_info_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/page/product/img/a102_info_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:14:36:48 +0900] "GET /lefthand/page/product/img/a101_info_1.jpg HTTP/1.1" 304 -
